problem,noise_level,sample_size,mean_MSE_obs_train,std_MSE_obs_train,MAD_MSE_obs_train,min_MSE_obs_train,std_MSE_obs_train_inliers,n_filtered_out,n_total,n_inliers
new_1_1,0.0001,32,108.26355956324274,166.32932076005255,31.05207677679064,2.13841341589225,24.76902094096085,60,200,140
new_1_1,0.0001,128,50.96376369184488,290.0118222202766,2.1788782916731204,0.060512374014316896,1.5802583188913095,62,200,138
new_1_1,0.0001,512,22.308085597749415,12.939646668162899,6.286647398432131,0.40275092142756,5.36161724176948,108,200,92
new_1_1,0.0001,2048,24.83583404158493,11.170620674170502,6.583733272940936,1.58444098901764,6.2574651033901185,120,200,80
new_1_1,0.001,32,53.77131211504063,94.58882993201311,10.55429915462378,2.10296924617924,7.271307255800068,68,200,132
new_1_1,0.001,128,29.421385681600942,88.1610454158043,2.343906622565134,0.0967440340312209,1.6728710211080642,74,200,126
new_1_1,0.001,512,23.617950695549915,13.156527165165304,6.220810039255497,1.3025298534264897,4.636252545703893,116,200,84
new_1_1,0.001,2048,24.983445784918466,12.240241525895968,6.9029416460241535,2.67407951927769,5.7179475721131405,94,200,106
new_1_1,0.01,32,120.15008235446578,188.3943080446257,31.373018904344995,1.05602382795204,21.294978758655162,64,200,136
new_1_1,0.01,128,52.440436784104975,232.42376495768954,2.58046417667701,0.22920242425080997,1.9273136547477243,60,200,140
new_1_1,0.01,512,21.6895500450337,13.153658029805504,7.3010702071747176,1.3121597114211598,6.114219370720455,72,200,128
new_1_1,0.01,2048,25.256729357208016,10.675028939425461,6.92040071096709,2.739809526169,5.464648079104658,106,200,94
new_1_1,0.1,32,113.65448090175134,397.51606138374257,19.856923629650446,10.752464019025,15.597112451170071,52,200,148
new_1_1,0.1,128,55.69111391804172,71.810288313845,8.278467962498624,15.950258719506252,5.348765788234809,72,200,128
new_1_1,0.1,512,71.89839570715507,14.849551139623168,7.782408045129504,44.453596026609006,6.322709342192205,112,200,88
new_1_1,0.1,2048,71.1673205829341,12.52853996414914,7.76045613260186,48.862117334822486,6.766848649018123,94,200,106
new_1_2,0.0001,32,39.46275215576537,63.437724521298605,10.456864759694476,1.2976599885414402,7.691881686756243,66,200,134
new_1_2,0.0001,128,19.692943842069393,72.14269783802017,2.6657987608353757,0.03966515968609959,2.189396456275698,52,200,148
new_1_2,0.0001,512,22.70829016454447,14.694729082281002,5.6910737536706195,2.56958623745041,4.838887546431353,112,200,88
new_1_2,0.0001,2048,25.022991187210874,12.291699674585107,7.782836929881755,3.7584084115822503,6.240587533014821,76,200,124
new_1_2,0.001,32,57.39672129744427,100.06750517556614,10.583980947191522,1.5336608141923598,7.67425859432111,64,200,136
new_1_2,0.001,128,19.97546661443108,85.74248421749692,2.3973080833512443,0.09999116731044,1.7483493975629192,60,200,140
new_1_2,0.001,512,22.964911816834647,14.54601941703617,5.371695177876253,1.1389999369123602,4.854078425591363,138,200,62
new_1_2,0.001,2048,23.76553208000226,11.326791699425106,7.500300568620395,2.58823937056036,6.578032850013211,84,200,116
new_1_2,0.01,32,84.37848280701157,139.63979242076303,15.867320955519679,1.0651241063522499,9.950655126283857,72,200,128
new_1_2,0.01,128,25.93793002831436,74.9194865382004,2.2216451878442935,0.3072021190117489,1.5370486960434775,66,200,134
new_1_2,0.01,512,23.52746487587093,11.866475614453341,5.716472973789553,2.1723738405062503,5.394420352636533,124,200,76
new_1_2,0.01,2048,26.114627027723174,10.970938759599402,6.74917558163062,2.8877190502410004,5.277818270673278,130,200,70
new_1_2,0.1,32,110.19947381529168,378.43128055807875,18.109262775626995,10.83626786369169,13.871121073299035,58,200,142
new_1_2,0.1,128,52.44962871268203,50.80600947859841,8.89138763266844,19.0287015961,6.4413233672262775,70,200,130
new_1_2,0.1,512,70.5409441664761,13.084060530920523,6.938227188816491,43.56449339587216,5.535109802407414,146,200,54
new_1_2,0.1,2048,71.44219452245379,12.523702497338409,7.640995848847993,48.658241998116,6.523669880419994,90,200,110
new_1_3,0.0001,32,39.46275215576537,63.437724521298605,10.456864759694476,1.2976599885414402,7.691881686756243,66,200,134
new_1_3,0.0001,128,19.692943842069393,72.14269783802017,2.6657987608353757,0.03966515968609959,2.189396456275698,52,200,148
new_1_3,0.0001,512,22.70829016454447,14.694729082281002,5.6910737536706195,2.56958623745041,4.838887546431353,112,200,88
new_1_3,0.0001,2048,25.022991187210874,12.291699674585107,7.782836929881755,3.7584084115822503,6.240587533014821,76,200,124
new_1_3,0.001,32,57.39672129744427,100.06750517556614,10.583980947191522,1.5336608141923598,7.67425859432111,64,200,136
new_1_3,0.001,128,19.97546661443108,85.74248421749692,2.3973080833512443,0.09999116731044,1.7483493975629192,60,200,140
new_1_3,0.001,512,22.964911816834647,14.54601941703617,5.371695177876253,1.1389999369123602,4.854078425591363,138,200,62
new_1_3,0.001,2048,23.76553208000226,11.326791699425106,7.500300568620395,2.58823937056036,6.578032850013211,84,200,116
new_1_3,0.01,32,84.37848280701157,139.63979242076303,15.867320955519679,1.0651241063522499,9.950655126283857,72,200,128
new_1_3,0.01,128,25.93793002831436,74.9194865382004,2.2216451878442935,0.3072021190117489,1.5370486960434775,66,200,134
new_1_3,0.01,512,23.52746487587093,11.866475614453341,5.716472973789553,2.1723738405062503,5.394420352636533,124,200,76
new_1_3,0.01,2048,26.114627027723174,10.970938759599402,6.74917558163062,2.8877190502410004,5.277818270673278,130,200,70
new_1_3,0.1,32,110.19947381529168,378.43128055807875,18.109262775626995,10.83626786369169,13.871121073299035,58,200,142
new_1_3,0.1,128,52.44962871268203,50.80600947859841,8.89138763266844,19.0287015961,6.4413233672262775,70,200,130
new_1_3,0.1,512,70.5409441664761,13.084060530920523,6.938227188816491,43.56449339587216,5.535109802407414,146,200,54
new_1_3,0.1,2048,71.44219452245379,12.523702497338409,7.640995848847993,48.658241998116,6.523669880419994,90,200,110
new_1_4,0.0001,32,73.86315585950405,130.51524189031176,20.915521574639882,1.2976599885414402,15.901699974016893,58,200,142
new_1_4,0.0001,128,50.96376369184488,290.0118222202766,2.1788782916731204,0.060512374014316896,1.5802583188913095,62,200,138
new_1_4,0.0001,512,22.308085597749415,12.939646668162899,6.286647398432131,0.40275092142756,5.36161724176948,108,200,92
new_1_4,0.0001,2048,24.83583404158493,11.170620674170502,6.583733272940936,1.58444098901764,6.2574651033901185,120,200,80
new_1_4,0.001,32,55.58401670624246,97.3836669055418,10.519596691412655,1.5336608141923598,7.284379543256756,67,200,133
new_1_4,0.001,128,29.421385681600942,88.1610454158043,2.343906622565134,0.0967440340312209,1.6728710211080642,74,200,126
new_1_4,0.001,512,23.617950695549915,13.156527165165304,6.220810039255497,1.3025298534264897,4.636252545703893,116,200,84
new_1_4,0.001,2048,24.983445784918466,12.240241525895968,6.9029416460241535,2.67407951927769,5.7179475721131405,94,200,106
new_1_4,0.01,32,120.15008235446578,188.3943080446257,31.373018904344995,1.05602382795204,21.294978758655162,64,200,136
new_1_4,0.01,128,52.440436784104975,232.42376495768954,2.58046417667701,0.22920242425080997,1.9273136547477243,60,200,140
new_1_4,0.01,512,21.6895500450337,13.153658029805504,7.3010702071747176,1.3121597114211598,6.114219370720455,72,200,128
new_1_4,0.01,2048,25.256729357208016,10.675028939425461,6.92040071096709,2.739809526169,5.464648079104658,106,200,94
new_1_4,0.1,32,113.65448090175134,397.51606138374257,19.856923629650446,10.752464019025,15.597112451170071,52,200,148
new_1_4,0.1,128,55.69111391804172,71.810288313845,8.278467962498624,15.950258719506252,5.348765788234809,72,200,128
new_1_4,0.1,512,71.89839570715507,14.849551139623168,7.782408045129504,44.453596026609006,6.322709342192205,112,200,88
new_1_4,0.1,2048,71.1673205829341,12.52853996414914,7.76045613260186,48.862117334822486,6.766848649018123,94,200,106
new_1_5,0.0001,32,73.86315585950405,130.51524189031176,20.915521574639882,1.2976599885414402,15.901699974016893,58,200,142
new_1_5,0.0001,128,35.328353766957136,211.89952207481826,2.445874033693121,0.03966515968609959,1.8956900319224879,58,200,142
new_1_5,0.0001,512,22.50818788114694,13.846479750599446,6.1897547388144005,0.40275092142756,5.025847009776457,114,200,86
new_1_5,0.0001,2048,24.9294126143979,11.744919093900158,7.301805914617502,1.58444098901764,6.023403009233407,101,200,99
new_1_5,0.001,32,57.39672129744427,100.06750517556614,10.583980947191522,1.5336608141923598,7.67425859432111,64,200,136
new_1_5,0.001,128,24.698426148016004,87.0889786554432,2.5072770287256443,0.0967440340312209,1.8244965312352068,65,200,135
new_1_5,0.001,512,23.291431256192283,13.872548239672126,5.793947205227999,1.1389999369123602,4.916462417431069,124,200,76
new_1_5,0.001,2048,24.374488932460363,11.808156219957073,7.096642790339376,2.58823937056036,6.015323256501335,94,200,106
new_1_5,0.01,32,102.26428258073867,166.78534961414223,21.25175219225008,1.05602382795204,15.728000654820601,69,200,131
new_1_5,0.01,128,52.440436784104975,232.42376495768954,2.58046417667701,0.22920242425080997,1.9273136547477243,60,200,140
new_1_5,0.01,512,23.52746487587093,11.866475614453341,5.716472973789553,2.1723738405062503,5.394420352636533,124,200,76
new_1_5,0.01,2048,25.685678192465595,10.832533949822349,6.952698112096165,2.739809526169,5.536110667719185,116,200,84
new_1_5,0.1,32,111.92697735852151,388.0948670702195,18.3494546483205,10.752464019025,14.350408325193628,57,200,143
new_1_5,0.1,128,55.69111391804172,71.810288313845,8.278467962498624,15.950258719506252,5.348765788234809,72,200,128
new_1_5,0.1,512,71.21966993681559,14.011205804705291,7.520780652268002,43.56449339587216,6.241076819448355,128,200,72
new_1_5,0.1,2048,71.44219452245379,12.523702497338409,7.640995848847993,48.658241998116,6.523669880419994,90,200,110
new_2_1,0.0001,32,4.302151250598286,8.594937069011428,1.0365468326643748,0.009073779835832099,0.8353146552652655,54,200,146
new_2_1,0.0001,128,1.423587717430362,6.96631060341178,0.017109191865813035,0.001003022913868369,0.012082504168109255,68,200,132
new_2_1,0.0001,512,0.3407426675936855,2.5295645530386,0.02341716033661595,0.0097139415300489,0.017192224323677327,59,200,141
new_2_1,0.0001,2048,0.8290597781501099,4.818205801431926,0.061343392411211686,0.0125970970295041,0.048342681329262026,56,200,144
new_2_1,0.001,32,4.084060859581416,8.526439700554493,0.8262482414305243,0.001313925768556996,0.6534760819755723,55,200,145
new_2_1,0.001,128,0.6451828908551466,2.473687013037433,0.014399753474260472,0.001613847914271076,0.011052116772979903,66,200,134
new_2_1,0.001,512,0.35001731226493216,2.5379104978651124,0.03111891345986284,0.0135870005756241,0.022994841930964537,56,200,144
new_2_1,0.001,2048,0.558645744424135,3.967403096947013,0.0603425381123968,0.014696669257232401,0.04785935286813693,54,200,146
new_2_1,0.01,32,4.327203009709149,8.58446584248927,0.8748422467011896,0.0060641698649284,0.6372980604832973,62,200,138
new_2_1,0.01,128,1.0027853030513163,5.277184186491506,0.028921300857373974,0.0027362398504464,0.020364963455281788,64,200,136
new_2_1,0.01,512,0.4906329928496008,2.876243611856914,0.02640329880900445,0.018749296353924902,0.01850192322441318,63,200,137
new_2_1,0.01,2048,0.8404820022072497,4.932686156858723,0.0681577532871206,0.019504013406832905,0.05267327739760103,48,200,152
new_2_1,0.1,32,5.8882717583435555,9.765253009938768,1.2336125324221752,0.18614368352743837,0.7746068980595147,62,200,138
new_2_1,0.1,128,1.4183626702409082,1.3815270104223727,0.34559921143485817,0.33885897924440256,0.27633973635302406,60,200,140
new_2_1,0.1,512,1.165865685278904,1.5671182745778829,0.05864676659856516,0.8275589296110756,0.03788070026031106,69,200,131
new_2_1,0.1,2048,1.6962289024404194,5.161650023953326,0.06758082627772499,0.8057716805625795,0.051249337545322356,54,200,146
new_2_2,0.0001,32,4.303749549317968,8.59600028373172,1.0520574264198679,0.0090748924645729,0.8460174370485125,50,200,150
new_2_2,0.0001,128,1.423587717430362,6.96631060341178,0.017109191865813035,0.001003022913868369,0.012082504168109255,68,200,132
new_2_2,0.0001,512,0.3407426675936855,2.5295645530386,0.02341716033661595,0.0097139415300489,0.017192224323677327,59,200,141
new_2_2,0.0001,2048,0.8223641801899236,4.788124914935914,0.06121309615842835,0.0125970970295041,0.04781763523319153,56,200,144
new_2_2,0.001,32,4.127948618542071,8.524920105230732,0.8275567427434792,0.001313925768556996,0.6711316295742966,56,200,144
new_2_2,0.001,128,0.6451828908551466,2.473687013037433,0.014399753474260472,0.001613847914271076,0.011052116772979903,66,200,134
new_2_2,0.001,512,0.3467274239186988,2.5257513963120695,0.026722118761217405,0.008517872330982399,0.017709501158550127,66,200,134
new_2_2,0.001,2048,0.558645744424135,3.967403096947013,0.0603425381123968,0.014696669257232401,0.04785935286813693,54,200,146
new_2_2,0.01,32,4.574938822808957,8.614892296857883,1.0372844179915108,0.0060641698649284,0.7889354520496158,61,200,139
new_2_2,0.01,128,1.5301874166047145,7.266635685705721,0.03812312261664395,0.0027362398504464,0.031224644220986697,64,200,136
new_2_2,0.01,512,0.4874616736264191,2.878849725371793,0.0220110916801798,0.018749296353924902,0.01594505946296362,66,200,134
new_2_2,0.01,2048,0.8385545851184462,4.933082953646541,0.06183514954400041,0.019504013406832905,0.04933992877089669,48,200,152
new_2_2,0.1,32,5.790806636552571,9.621020574428684,1.1149916791723355,0.18614368352743837,0.7560851219370015,62,200,138
new_2_2,0.1,128,1.4183626702409082,1.3815270104223727,0.34559921143485817,0.33885897924440256,0.27633973635302406,60,200,140
new_2_2,0.1,512,1.156798293397765,1.5600079902747017,0.06721448165600008,0.8345486993127769,0.047955065484180895,62,200,138
new_2_2,0.1,2048,1.6962289024404194,5.161650023953326,0.06758082627772499,0.8057716805625795,0.051249337545322356,54,200,146
new_2_3,0.0001,32,4.302151250598286,8.594937069011428,1.0365468326643748,0.009073779835832099,0.8353146552652655,54,200,146
new_2_3,0.0001,128,1.5008143319691087,7.382089560855444,0.015457295814314428,0.001003022913868369,0.012032314769934166,66,200,134
new_2_3,0.0001,512,0.33744697958197345,2.5212798831931575,0.022475337502712998,0.010319070334980624,0.01662568681781905,58,200,142
new_2_3,0.0001,2048,0.8290597781501099,4.818205801431926,0.061343392411211686,0.0125970970295041,0.048342681329262026,56,200,144
new_2_3,0.001,32,4.084060859581416,8.526439700554493,0.8262482414305243,0.001313925768556996,0.6534760819755723,55,200,145
new_2_3,0.001,128,0.6451828908551466,2.473687013037433,0.014399753474260472,0.001613847914271076,0.011052116772979903,66,200,134
new_2_3,0.001,512,0.35001731226493216,2.5379104978651124,0.03111891345986284,0.0135870005756241,0.022994841930964537,56,200,144
new_2_3,0.001,2048,0.558645744424135,3.967403096947013,0.0603425381123968,0.014696669257232401,0.04785935286813693,54,200,146
new_2_3,0.01,32,4.327203009709149,8.58446584248927,0.8748422467011896,0.0060641698649284,0.6372980604832973,62,200,138
new_2_3,0.01,128,0.4753831894979186,1.5278253176813308,0.02021421419618462,0.0032910479549343365,0.015261215559187843,60,200,140
new_2_3,0.01,512,0.4874616736264191,2.878849725371793,0.0220110916801798,0.018749296353924902,0.01594505946296362,66,200,134
new_2_3,0.01,2048,0.8404820022072497,4.932686156858723,0.0681577532871206,0.019504013406832905,0.05267327739760104,48,200,152
new_2_3,0.1,32,5.8882717583435555,9.765253009938768,1.2336125324221752,0.18614368352743837,0.7746068980595147,62,200,138
new_2_3,0.1,128,1.452091880511764,1.4018994615047233,0.3810202330367422,0.34184808303861763,0.3343429779765181,52,200,148
new_2_3,0.1,512,1.156798293397765,1.5600079902747017,0.06721448165600008,0.8345486993127769,0.047955065484180895,62,200,138
new_2_3,0.1,2048,1.7013242741310564,5.193382490528179,0.07210804373973012,0.8057716805625795,0.06092231349384464,44,200,156
new_2_4,0.0001,32,4.303749549317968,8.59600028373172,1.0520574264198679,0.0090748924645729,0.8460174370485125,50,200,150
new_2_4,0.0001,128,1.5008143319691087,7.382089560855444,0.015457295814314428,0.001003022913868369,0.012032314769934166,66,200,134
new_2_4,0.0001,512,0.3440383556053975,2.5378178765041226,0.025171046471938102,0.0097139415300489,0.017053387564856942,62,200,138
new_2_4,0.0001,2048,0.8290597781501099,4.818205801431926,0.061343392411211686,0.0125970970295041,0.048342681329262026,56,200,144
new_2_4,0.001,32,4.084060859581416,8.526439700554493,0.8262482414305243,0.001313925768556996,0.6534760819755723,55,200,145
new_2_4,0.001,128,0.6451828908551466,2.473687013037433,0.014399753474260472,0.001613847914271076,0.011052116772979903,66,200,134
new_2_4,0.001,512,0.35001731226493216,2.5379104978651124,0.03111891345986284,0.0135870005756241,0.022994841930964537,56,200,144
new_2_4,0.001,2048,0.558645744424135,3.967403096947013,0.0603425381123968,0.014696669257232401,0.04785935286813693,54,200,146
new_2_4,0.01,32,4.327203009709149,8.58446584248927,0.8748422467011896,0.0060641698649284,0.6372980604832973,62,200,138
new_2_4,0.01,128,0.4753831894979186,1.5278253176813308,0.02021421419618462,0.0032910479549343365,0.015261215559187843,60,200,140
new_2_4,0.01,512,0.4906329928496008,2.876243611856914,0.02640329880900445,0.018749296353924902,0.01850192322441318,63,200,137
new_2_4,0.01,2048,0.842409419296053,4.932288571177072,0.06982612065696395,0.020778126974440002,0.05632529843139463,48,200,152
new_2_4,0.1,32,5.790806636552571,9.621020574428684,1.1149916791723355,0.18614368352743837,0.7560851219370015,62,200,138
new_2_4,0.1,128,1.4183626702409082,1.3815270104223727,0.34559921143485817,0.33885897924440256,0.27633973635302406,60,200,140
new_2_4,0.1,512,1.165865685278904,1.5671182745778829,0.05864676659856516,0.8275589296110756,0.037880700260311054,69,200,131
new_2_4,0.1,2048,1.7013242741310564,5.193382490528179,0.07210804373973012,0.8057716805625795,0.06092231349384464,44,200,156
new_2_5,0.0001,32,4.303749549317968,8.59600028373172,1.0520574264198679,0.0090748924645729,0.8460174370485125,50,200,150
new_2_5,0.0001,128,1.423587717430362,6.96631060341178,0.017109191865813035,0.001003022913868369,0.012082504168109255,68,200,132
new_2_5,0.0001,512,0.3407426675936855,2.5295645530386,0.02341716033661595,0.0097139415300489,0.017192224323677327,59,200,141
new_2_5,0.0001,2048,0.8290597781501099,4.818205801431926,0.061343392411211686,0.0125970970295041,0.048342681329262026,56,200,144
new_2_5,0.001,32,4.127948618542071,8.524920105230732,0.8275567427434792,0.001313925768556996,0.6711316295742966,56,200,144
new_2_5,0.001,128,0.6451828908551466,2.473687013037433,0.014399753474260472,0.001613847914271076,0.011052116772979903,66,200,134
new_2_5,0.001,512,0.35001731226493216,2.5379104978651124,0.03111891345986284,0.0135870005756241,0.022994841930964537,56,200,144
new_2_5,0.001,2048,0.558645744424135,3.967403096947013,0.0603425381123968,0.014696669257232401,0.04785935286813693,54,200,146
new_2_5,0.01,32,4.822674635908765,8.638073968858464,1.273590719371113,0.011127047250432402,0.9611275285617329,60,200,140
new_2_5,0.01,128,1.0027853030513163,5.277184186491506,0.028921300857373974,0.0027362398504464,0.020364963455281788,64,200,136
new_2_5,0.01,512,0.4874616736264191,2.878849725371793,0.0220110916801798,0.018749296353924902,0.01594505946296362,66,200,134
new_2_5,0.01,2048,0.8404820022072497,4.932686156858723,0.0681577532871206,0.019504013406832905,0.05267327739760104,48,200,152
new_2_5,0.1,32,5.693341514761587,9.473585016626572,1.0473657851420395,0.35007551891523997,0.7368949234980491,62,200,138
new_2_5,0.1,128,1.452091880511764,1.4018994615047233,0.3810202330367422,0.34184808303861763,0.3343429779765181,52,200,148
new_2_5,0.1,512,1.156798293397765,1.5600079902747017,0.06721448165600008,0.8345486993127769,0.047955065484180895,62,200,138
new_2_5,0.1,2048,1.6962289024404194,5.161650023953326,0.06758082627772499,0.8057716805625795,0.051249337545322356,54,200,146
new_3_1,0.0001,32,1.5238450985434582,4.153583849755403,0.42641261656080853,0.008527473436262398,0.3638464663811421,38,200,162
new_3_1,0.0001,128,0.30621974883302366,1.5620597821803341,0.023688095022884915,0.0009975978854615288,0.01657178051333032,69,200,131
new_3_1,0.0001,512,0.21114768048291574,0.335250978454882,0.05171792472333494,0.0158583598628004,0.035640959315798665,58,200,142
new_3_1,0.0001,2048,0.15277169818210407,0.1756362746465414,0.06746254520721526,0.01321297373529,0.05880721122955701,46,200,154
new_3_1,0.001,32,1.5677269820543769,4.208208083598279,0.35942590893936005,0.0055030358880024995,0.317101692418338,34,200,166
new_3_1,0.001,128,0.5200144108775071,2.615455162872538,0.015578715988879251,0.0008427403194000999,0.011944344472733202,59,200,141
new_3_1,0.001,512,0.21289115649686852,0.34759930628860053,0.03856894774507996,0.016561666897779603,0.0306868451380169,58,200,142
new_3_1,0.001,2048,0.1500366160964499,0.17506951693293188,0.0680461159119776,0.016307532630902503,0.05872006535200151,44,200,156
new_3_1,0.01,32,1.2588971292138353,3.3260826974101634,0.39708538436319996,0.005097914304102399,0.32513915099182983,40,200,160
new_3_1,0.01,128,0.7671280813970293,3.3047551335294427,0.02771447614446565,0.0047249373897124,0.0184282574475979,68,200,132
new_3_1,0.01,512,0.22302593702225862,0.35008421293803127,0.04860066592879346,0.0245224763399716,0.03624369727338429,60,200,140
new_3_1,0.01,2048,0.15556807497517877,0.17233911483161996,0.06915562842243594,0.0219889572598276,0.06272959830746175,37,200,163
new_3_1,0.1,32,1.7454522499861553,3.84520116501307,0.2897275451008799,0.15663196946370492,0.22259914507782824,62,200,138
new_3_1,0.1,128,1.8890209058299825,2.3989424751741923,0.29998375158314505,0.36113284981488997,0.21999023326910996,66,200,134
new_3_1,0.1,512,0.9488411582427239,0.25163755590162146,0.05730677156261882,0.7475886164724849,0.0399599728408978,64,200,136
new_3_1,0.1,2048,0.9458685354163339,0.1558275826627036,0.06925603288365761,0.7807866018136901,0.052597869993311244,56,200,144
new_3_2,0.0001,32,1.5238450985434582,4.153583849755403,0.42641261656080853,0.008527473436262398,0.3638464663811421,38,200,162
new_3_2,0.0001,128,0.30621974883302366,1.5620597821803341,0.023688095022884915,0.0009975978854615288,0.01657178051333032,69,200,131
new_3_2,0.0001,512,0.2092906415430538,0.33585526641114805,0.04693680761445014,0.010789615502209474,0.0348451597642317,58,200,142
new_3_2,0.0001,2048,0.15553086959381543,0.17460838931121123,0.0674854485780832,0.01321297373529,0.05672224229100778,50,200,150
new_3_2,0.001,32,1.587641217903978,4.262728735066564,0.35114557420613524,0.0044342054594289,0.29728080726822775,38,200,162
new_3_2,0.001,128,0.5200144108775071,2.615455162872538,0.015578715988879251,0.0008427403194000999,0.011944344472733202,59,200,141
new_3_2,0.001,512,0.20853225567604683,0.3346768673657862,0.038414569708811165,0.0179965847068225,0.031771797997202304,56,200,144
new_3_2,0.001,2048,0.1500366160964499,0.17506951693293188,0.0680461159119776,0.016307532630902503,0.05872006535200151,44,200,156
new_3_2,0.01,32,1.209961385334797,3.254405957837563,0.37040216471317555,0.005097914304102399,0.32049406040736655,35,200,165
new_3_2,0.01,128,0.7671280813970293,3.3047551335294427,0.02771447614446565,0.0047249373897124,0.0184282574475979,68,200,132
new_3_2,0.01,512,0.22302593702225862,0.35008421293803127,0.04860066592879346,0.0245224763399716,0.03624369727338429,60,200,140
new_3_2,0.01,2048,0.14959682682824624,0.16861423393950323,0.0656487252664692,0.0219893339097601,0.057284206443969914,42,200,158
new_3_2,0.1,32,1.7257501496452516,3.8138683940225793,0.29856403601094494,0.15464269178832252,0.22536279293490108,58,200,142
new_3_2,0.1,128,0.7818986803182719,0.4296837684234187,0.21723373983388355,0.29897624208384005,0.17142970310621283,46,200,154
new_3_2,0.1,512,0.9488411582427239,0.25163755590162146,0.05730677156261882,0.7475886164724849,0.0399599728408978,64,200,136
new_3_2,0.1,2048,0.9464369417441416,0.15600505524018787,0.07137532789224715,0.7807866018136901,0.0559418446564927,54,200,146
new_3_3,0.0001,32,1.1773838308082383,3.101769627068622,0.37821860698624077,0.008527473436262398,0.3446879869521313,30,200,170
new_3_3,0.0001,128,0.3135278854067285,1.558003423670215,0.025212417089625266,0.0013058488004409,0.017786043759090747,68,200,132
new_3_3,0.0001,512,0.21114768048291574,0.335250978454882,0.05171792472333494,0.0158583598628004,0.035640959315798665,58,200,142
new_3_3,0.0001,2048,0.15553086959381543,0.17460838931121123,0.0674854485780832,0.01321297373529,0.05672224229100778,50,200,150
new_3_3,0.001,32,1.5677269820543769,4.208208083598279,0.35942590893936005,0.0055030358880024995,0.317101692418338,34,200,166
new_3_3,0.001,128,0.5200144108775071,2.615455162872538,0.015578715988879251,0.0008427403194000999,0.011944344472733202,59,200,141
new_3_3,0.001,512,0.21289115649686852,0.34759930628860053,0.03856894774507996,0.016561666897779603,0.0306868451380169,58,200,142
new_3_3,0.001,2048,0.1500366160964499,0.17506951693293188,0.0680461159119776,0.016307532630902503,0.05872006535200151,44,200,156
new_3_3,0.01,32,1.209961385334797,3.254405957837563,0.37040216471317555,0.005097914304102399,0.32049406040736655,35,200,165
new_3_3,0.01,128,0.7671280813970293,3.3047551335294427,0.02771447614446565,0.0047249373897124,0.0184282574475979,68,200,132
new_3_3,0.01,512,0.2178033787020416,0.3497003174236136,0.047116281661465045,0.017350885502017598,0.029229740965241786,63,200,137
new_3_3,0.01,2048,0.14959682682824624,0.16861423393950323,0.0656487252664692,0.0219893339097601,0.057284206443969914,42,200,158
new_3_3,0.1,32,1.7060480493043482,3.7821729214409845,0.30093371855718,0.15464269178832252,0.22406276018535698,56,200,144
new_3_3,0.1,128,1.8890209058299825,2.3989424751741923,0.29998375158314505,0.36113284981488997,0.21999023326910996,66,200,134
new_3_3,0.1,512,0.935287563318159,0.23525867675956658,0.055102901145644756,0.7670325588356025,0.040151377358320965,58,200,142
new_3_3,0.1,2048,0.9464369417441416,0.15600505524018787,0.07137532789224715,0.7807866018136901,0.0559418446564927,54,200,146
new_3_4,0.0001,32,1.870306366278678,4.964097659029328,0.5058685821467683,0.008530742738480401,0.4319909095963519,38,200,162
new_3_4,0.0001,128,0.29891161225931895,1.566071359660731,0.020323959404566605,0.0009975978854615288,0.015122322174335134,70,200,130
new_3_4,0.0001,512,0.2092906415430538,0.33585526641114805,0.04693680761445014,0.010789615502209474,0.0348451597642317,58,200,142
new_3_4,0.0001,2048,0.15277169818210407,0.1756362746465414,0.06746254520721526,0.01321297373529,0.05880721122955701,46,200,154
